moduleId/I, z_cm/D, r_cm/D, eta/D, phi/D, sensorSpacing_cm/D
50000, -112.686996, 21.972200, -2.337355, 0.000000, 0.260000
50001, -106.702003, 21.367800, -2.311180, 0.000000, 0.260000
50002, -106.681000, 21.972200, -2.283652, 0.000000, 0.260000
50003, -100.780998, 21.367800, -2.255265, 0.000000, 0.260000
50004, -100.521004, 21.972200, -2.225472, 0.000000, 0.260000
50005, -94.707397, 21.367800, -2.194544, 0.000000, 0.260000
50006, -94.201401, 21.972200, -2.162136, 0.000000, 0.260000
50007, -88.477501, 21.367800, -2.128283, 0.000000, 0.260000
50008, -87.719597, 21.972200, -2.092843, 0.000000, 0.260000
50009, -82.087196, 21.367800, -2.055569, 0.000000, 0.260000
50010, -81.070702, 21.972200, -2.016568, 0.000000, 0.260000
50011, -75.532303, 21.367800, -1.975255, 0.000000, 0.260000
50012, -74.250702, 21.972200, -1.932023, 0.000000, 0.260000
50013, -68.808701, 21.367800, -1.885873, 0.000000, 0.260000
50014, -67.255096, 21.972200, -1.837536, 0.000000, 0.260000
50015, -61.911900, 21.367800, -1.785505, 0.000000, 0.260000
50016, -60.079300, 21.972200, -1.730910, 0.000000, 0.260000
50017, -54.837502, 21.367800, -1.671599, 0.000000, 0.260000
50018, -52.718700, 21.972200, -1.609183, 0.000000, 0.260000
50019, -47.581001, 21.367800, -1.540679, 0.000000, 0.260000
50020, -45.168598, 21.972200, -1.468278, 0.000000, 0.260000
50021, -40.137600, 21.367800, -1.387900, 0.000000, 0.260000
50022, -37.424099, 21.972200, -1.302466, 0.000000, 0.260000
50023, -32.502499, 21.367800, -1.206409, 0.000000, 0.260000
50024, -29.480200, 21.972200, -1.103625, 0.000000, 0.260000
50025, -24.670799, 21.367800, -0.986567, 0.000000, 0.260000
50026, -21.331600, 21.972200, -0.860607, -0.000000, 0.260000
50027, -16.637400, 21.367800, -0.715886, -0.000000, 0.260000
50028, -12.973300, 21.972200, -0.560611, -0.000000, 0.260000
50029, -8.397160, 21.367800, -0.383511, -0.000000, 0.260000
50030, -4.399700, 21.972200, -0.198925, -0.000000, 0.260000
